batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - active <3,fyp%E3%82%B7,tina_042,405700,4647,23200,1077
1,1,original sound - KEEMOKAZI,onthisday,keemokazi,301000,1716,31800,1019
1,2,Meow - Dust☆,,alexandra_fer4,1100000,2417,91300,26800
1,3,Asn - thsituan._.,,yk.quotezz_,36700,284,3380,93
1,4,Show Me How (Album V) - Men I Trust,"dahood, dahoodvc, roblox, robloxdahood, robloxvc, robloxfyp, robloxedit, dahoodian, headless, sshf, pickme",mwissyy,4825,822,909,20
1,5,original sound - spo6kzie,"fyp, viral, jujuwalk, blowthisup, school, rizz",avas.chronicles,592300,1147,47600,1873
1,6,unforgettable - user,,nathannuyts,254100,317,6997,877
1,7,i was only temporary 2 u - my head is empty,hopecore,thevisiondriven,6800000,19900,945700,56100
1,8,оригинальный звук - Yura Vika 💎,,yura_vika,2800000,8699,138100,9011
1,9,original sound - ®️ Louieveegang💙,"@cammg420, foryou",louieveedee,2559,147,364,31
1,10,original sound - Joe Gunn,"@mony_sadi, foryou, brother, trend, siblings",lala_sadii,92800,1097,7547,223
1,11,som original - Mata_mouros_reserva,,mata_mouros_reserva,144600,2698,11400,2416
2,0,son original - the.trump.fan2024,"trumpshirts, realdonaldtrump, donaldtrump, donaldtrumpfan, trump2024, maga, republicans, american, trumpsupporters, uspresidents, politicaldebate, maga2024, trump, trump2024, motivation, trumpmotivation",thetrumpfan2024,374800,14300,18800,36000
2,1,original sound - 🌏 Videoplanetoffical 🌏,"videoplanetoffical, fyp, goviral, uk, viral, foryoupage, neighbours",videoplanetoffical,535100,7862,58800,3066
2,2,original sound - Pubity,pubity,pubity,3900000,71500,225100,163400
2,3,original sound - Brent Natzle,,brentnatzle,51200,5444,5095,11900
2,4,original sound - Chloe Taylor,"thingsgirlsdo, chloetayloruk, relatable, fortheboys",chloetayloruk,355500,4283,38500,2143
2,5,sonido original - karen Paniagua videos,"parati, peru, travel",karenpaniaguavideos,64500,1328,4540,580
2,6,original sound - Dark Predictions,"fyp, venturabeach, california",darkpredictions,69300,3374,5122,5465
2,7,Hoist the Colours - Bass Singers Version - Bobby Bass,"northsea, explore, adventure, fyp, foryou",ourplanet.8,143000,2970,14500,5383
2,8,Hard News - DM Production,"patrickmahomes, chiefs, taylorswift, swifties, riristea, rivetsoro",riristea,218100,307,5171,263
2,9,sonido original - Latinus,"latinus, informaci%C3%B3nparati",latinus_us,57500,1347,4969,7230
2,10,original sound - Mike Landolt,"wow, laineywilson, roadrunner, loveit, %E2%9D%A4%EF%B8%8F, countrymusic, tiktok, love, follow, like, explorepage, likeforlikes, letsgo, trending, music, cute, music, likes, lfl, repost, followme, foryou, loveyou, foryoupage, fyp, viralvideos, tik, tok, fy, fyy, country, livemusic, like, star, concert, fan, concerts, fans, video, new, fun, fire, mustsee, musicvideo, singer, famous, pretty, hot, perfect, country, countrysinger, nashville, countrygirl, instagood, beautiful, happy, fyp%E3%82%B7%E3%82%9Aviral, virall, viralvideo, viraltiktok, fyppage, repost, perfect, laineywilsondumptruck, lainey, queen, laineywilsonmusic, dance, dancing, laineywilsonconcert, crowd, passion, superstar",livingthegoodlife24,507300,1901,23700,2659
2,11,Chill Vibes - Tollan Kim,"meghanmarkle, duchessofsussex, katemiddleton, princessofwales, catherine, breakingnews, royals, royalfamily, drama, uk, england, british, greenscreen",hrhgossip,6532,1020,751,131
2,12,original sound - Swifties Taylors fans,"@taylorswift, vmas, taylorswift, arianagrande, jlo, showmustgoon",swifties200,159300,631,6772,389
2,13,original sound - eazymann2499,"viral, fyp%E3%82%B7, youtubechannel_beazymann, icespice, taylorswift, superbowl",b_eazymann,7709,1394,1029,4570
2,14,original sound - Beto.Media,,beto.media,10100,3003,700,371
2,15,Epic Music(863502) - Draganov89,"recipes, tumeric, fyp, usa, southafrica, naturalremedies, healthtipstiktok",changeyolifetoday,38500,379,19200,20300
2,16,It is a long song with a strong mystery.(1041687) - syummacha,"lanadelrey, musicindustrysecrets, darkhollywood, scary, creepy",grace.mitscherlich,525200,7786,74300,5459
2,17,Stargazing (Slowed + Reverb) - Marcelo De Carvalho,"christiantiktok, jesussaves, marmariemmanuel, music, hollywood",yhwhboi,271300,4356,50900,11800
2,18,original sound - Relatable Animations😚,"manager, foryou, usa, managers, resignation, resignationletter, managersbelike, usatiktok, work, worklife, fyp, uk, usatiktok, resignations",_animation_s,122300,2179,9841,12700
2,19,sonido original - ADELEMX,"rollinginthedeep, adele, adeleadkins, adelefans, adeletupatrona, fyp",adelefanpagemx,6300000,32400,599300,37600
